MON timestamp weightedPrice RollingMin RollingMax averPrice stdevPrice coin cash curBalanceCoin curBalanceDollar trades decision
MON 99 8866.0 8513.03 11958.5 8866.0 0 0.0 1000.0 0.11279043537108054 1000.0 0 0
MON 100 9578.63 8513.03 11958.5 9578.63 0 0.0 1000.0 0.1043990633316038 1000.0 0 0
MON 101 9205.12 8513.03 11958.5 9205.12 0 0.0 1000.0 0.1086351943266356 1000.0 0 0
MON 102 9194.85 8513.03 11958.5 9194.85 0 0.0 1000.0 0.1087565321892146 1000.0 0 0
MON 103 8269.81 8513.03 11958.5 8269.81 0 0.0 1000.0 0.12092176241050279 1000.0 0 0
MON 104 8300.86 8068.59 11958.5 8300.86 0 0.0 1000.0 0.12046944533457979 1000.0 0 0
MON 105 8338.35 7783.05 11958.5 8338.35 0 0.0 1000.0 0.11992780346231569 1000.0 0 0
MON 106 7916.88 7783.05 11958.5 7916.88 0 0.0 1000.0 0.12631238568729095 1000.0 0 0
MON 107 8223.68 7783.05 11958.5 8223.68 0 0.0 1000.0 0.12160006225923187 1000.0 0 0
MON 108 8630.65 7397.99 11958.5 8630.65 0 0.0 1000.0 0.11586612827539061 1000.0 0 0
MON 109 8913.47 7397.99 11958.5 8913.47 0 0.0 1000.0 0.11218975326107566 1000.0 0 0
MON 110 8929.28 7397.99 11958.5 8929.28 0 0.0 1000.0 0.1119911123853211 1000.0 0 0
MON 111 8728.47 7397.99 11958.5 8728.47 0 0.0 1000.0 0.1145676160885012 1000.0 0 0
MON 112 8879.62 7397.99 11704.1 8879.62 0 0.0 1000.0 0.11261743182703764 1000.0 0 0
MON 113 8668.12 7397.99 11704.1 8668.12 0 0.0 1000.0 0.11536526951634263 1000.0 0 0
MON 114 8495.78 7397.99 11704.1 8495.78 0 0.0 1000.0 0.11770549614043677 1000.0 0 0
MON 115 8209.4 7397.99 11704.1 8209.4 0 0.0 1000.0 0.12181158184520184 1000.0 0 0
MON 116 7833.04 7397.99 11704.1 7833.04 0 0.0 1000.0 0.12766435509074384 1000.0 0 0
MON 117 7954.48 7397.99 11704.1 7954.48 0 0.0 1000.0 0.12571532017177742 1000.0 0 0
MON 118 7165.7 7797.28 11704.1 7165.7 0 0.0 1000.0 0.13955370724423294 1000.0 0 0
MON 119 6890.52 7081.38 11704.1 6890.52 0 0.0 1000.0 0.1451269280112386 1000.0 0 0
MON 120 6973.53 6683.93 11704.1 6973.53 0 0.0 1000.0 0.143399397435732 1000.0 0 0
MON 121 6844.23 6683.93 11704.1 6844.23 0 0.0 1000.0 0.14610847385315806 1000.0 0 0
MON 122 7083.8 6526.87 11704.1 7083.8 0 0.0 1000.0 0.14116717016290692 1000.0 0 0
MON 123 7456.11 6526.87 11704.1 7456.11 0 0.0 1000.0 0.1341181929987621 1000.0 0 0
MON 124 6853.84 6526.87 11704.1 6853.84 0 0.0 1000.0 0.14590361023893175 1000.0 0 0
MON 125 6811.47 6526.87 11500.1 6811.47 0 0.0 1000.0 0.14681118759973985 1000.0 0 0
MON 126 6636.32 6526.87 10929.5 6636.32 0 0.0 1000.0 0.15068592231839334 1000.0 0 0
MON 127 6911.09 6526.87 10147.4 6911.09 0 0.0 1000.0 0.14469497575635681 1000.0 0 0
MON 128 7023.52 6526.87 9937.5 7023.52 0 0.0 1000.0 0.14237875025628174 1000.0 0 0
MON 129 6770.73 6526.87 9937.5 6770.73 0 0.0 1000.0 0.14769456173854223 1000.0 0 0
MON 130 6834.76 6526.87 9937.5 6834.76 0 0.0 1000.0 0.14631091655010564 1000.0 0 0
MON 131 6968.32 6526.87 9937.5 6968.32 0 0.0 1000.0 0.14350661278471713 1000.0 0 0
MON 132 7889.25 6575.0 9470.38 7889.25 0 0.0 1000.0 0.12675476122571855 1000.0 0 0
MON 133 7895.96 6575.0 9355.85 7895.96 0 0.0 1000.0 0.1266470448178562 1000.0 0 0
MON 134 7986.24 6575.0 9177.37 7986.24 0 0.0 1000.0 0.12521537043715192 1000.0 0 0
MON 135 8329.11 6575.0 9177.37 8329.11 0 0.0 1000.0 0.12006084683717708 1000.0 0 0
MON 136 8058.67 6575.0 9177.37 8058.67 0 0.0 1000.0 0.1240899552903891 1000.0 0 0
MON 137 7902.09 6630.51 9177.37 7902.09 0 0.0 1000.0 0.1265487991151708 1000.0 0 0
MON 138 8163.42 6661.99 9177.37 8163.42 0 0.0 1000.0 0.12249767866898922 1000.0 0 0
MON 139 8294.31 6661.99 9177.37 8294.31 0 0.0 1000.0 0.12056457981435467 1000.0 0 0
MON 140 8845.83 6704.15 9177.37 8845.83 0 0.0 1000.0 0.11304761678666671 1000.0 0 0
MON 141 8895.58 6806.51 9100.71 8895.58 0 0.0 1000.0 0.11241537932321445 1000.0 0 0
MON 142 8802.46 6806.51 8997.57 8802.46 0 0.0 1000.0 0.11360460598514507 1000.0 0 0
MON 143 8930.88 7758.93 9001.64 8930.88 0 0.0 1000.0 0.11197104876563117 1000.0 0 0
MON 144 9697.5 7846.0 9001.64 9697.5 0 0.10311936065996391 0.0 0.10311936065996391 1000.0 1 1
MON 145 8845.74 7881.72 9732.61 8845.74 0 0.10311936065996391 0.0 0.10311936065996391 912.1670533642691 1 0
MON 146 9281.51 7881.72 9745.32 9281.51 0 0.10311936065996391 0.0 0.10311936065996391 957.1033771590617 1 0
MON 147 8987.05 7881.72 9745.32 8987.05 0 0.10311936065996391 0.0 0.10311936065996391 926.7388502191286 1 0
MON 148 9348.48 7886.01 9745.32 9348.48 0 0.10311936065996391 0.0 0.10311936065996391 964.0092807424594 1 0
MON 149 9419.08 8138.78 9745.32 9419.08 0 0.10311936065996391 0.0 0.10311936065996391 971.2895076050529 1 0
MON 150 9240.55 8244.54 9745.32 9240.55 0 0.10311936065996391 0.0 0.10311936065996391 952.8796081464294 1 0
MON 151 9119.01 8652.15 9745.32 9119.01 0 0.10311936065996391 0.0 0.10311936065996391 940.3464810518175 1 0
MON 152 9235.92 8727.09 9745.32 9235.92 0 0.10311936065996391 0.0 0.10311936065996391 952.4021655065739 1 0
MON 153 9743.86 8727.09 9745.32 9743.86 0 0.10311936065996391 0.0 0.10311936065996391 1004.780613560196 1 0
MON 154 9700.76 8727.09 9798.33 9700.76 0 0.10311936065996391 0.0 0.10311936065996391 1000.3361691157515 1 0
MON 155 9858.15 8727.09 9798.33 9858.15 0 0.10311936065996391 0.0 0.10311936065996391 1016.5661252900231 1 0
MON 156 9654.8 8727.09 9964.5 9654.8 0 0.10311936065996391 0.0 0.10311936065996391 995.5968032998195 1 0
MON 157 9373.01 8891.05 9964.5 9373.01 0 0.10311936065996391 0.0 0.10311936065996391 966.5387986594484 1 0
MON 158 9234.82 8891.05 9964.5 9234.82 0 0.10311936065996391 0.0 0.10311936065996391 952.2887342098479 1 0
MON 159 9325.18 8891.05 9964.5 9325.18 0 0.10311936065996391 0.0 0.10311936065996391 961.6065996390823 1 0
